state_fips,state_abbr,finalist_code,finalist_party,first_choice_pct,inc_CON,inc_OAO,inc_POP,inc_LBR,inc_CUP,inc_LIB,inc_DSA,inc_STY,inc_NAT,inc_PRG
1,AL,CON_1,CON,26.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,AL,CON_2,CON,0.0,9.68,3.98,0.8,1.61,1.69,0.0,0.0,0.0,0.0,0.0
1,AL,CUP_1,CUP,7.78,0.0,1.79,2.32,6.67,0.0,0.69,0.0,0.0,0.0,0.0
1,AL,NAT_1,NAT,15.44,0.79,0.0,0.0,0.0,0.0,0.0,15.97,0.0,0.0,0.0
1,AL,STY_1,STY,11.44,0.0,0.0,5.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,AK,CON_1,CON,15.17,0.0,0.0,0.0,0.0,0.99,0.0,0.0,0.83,12.26,0.0
2,AK,CUP_1,CUP,17.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.42,0.0,0.0
2,AK,LBR_1,LBR,19.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,AK,LIB_1,LIB,13.21,0.0,0.0,0.0,0.0,0.0,0.0,0.74,0.65,0.0,1.56
2,AK,STY_1,STY,10.58,0.0,0.0,5.03,0.86,0.0,0.0,4.43,0.0,0.0,0.0
4,AZ,CON_1,CON,20.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,AZ,LBR_1,LBR,9.94,1.53,2.34,4.11,0.0,1.28,0.0,8.73,2.13,0.0,0.0
4,AZ,LIB_1,LIB,9.61,0.0,1.19,0.0,3.61,0.0,0.0,3.12,0.0,0.0,5.43
4,AZ,NAT_1,NAT,18.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,AZ,POP_1,POP,10.24,5.88,0.0,0.0,0.0,0.0,0.0,0.0,3.62,0.98,0.0
5,AR,CON_1,CON,22.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.56,0.0
5,AR,CUP_1,CUP,8.42,1.22,4.03,1.13,0.0,0.0,1.3,1.66,0.0,0.0,0.0
5,AR,LBR_1,LBR,16.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.32,0.0,0.0
5,AR,LIB_1,LIB,5.54,0.0,1.11,0.0,0.0,0.0,0.0,6.86,0.0,0.0,4.51
5,AR,POP_1,POP,10.59,3.26,1.66,0.0,0.59,0.0,0.0,0.0,2.38,0.54,0.0
6,CA,CON_1,CON,13.43,0.0,7.1,0.0,0.0,1.55,0.0,0.0,0.0,3.35,0.0
6,CA,LBR_1,LBR,16.28,0.0,0.0,0.0,0.0,0.0,0.0,2.9,0.0,0.0,0.0
6,CA,LIB_1,LIB,15.42,0.0,0.0,0.0,0.0,0.85,0.0,0.0,0.0,0.0,0.0
