candidate_a,candidate_b,votes_a_beats_b,votes_b_beats_a,margin,margin_pct,locked,lock_order,condorcet_winner
CON_1,CUP_1,14616.197344513283,15150.701377700025,534.5,1.7956,True,10,STY_1
CON_1,LBR_1,13989.466614964873,15777.432107248434,1787.97,6.0066,True,9,STY_1
CON_1,LIB_1,17912.09494264875,11854.803779564554,6057.29,20.3491,True,6,STY_1
CON_1,STY_1,13180.929998256583,16585.968723956725,3405.04,11.439,True,7,STY_1
CUP_1,LBR_1,11582.114571240527,18184.784150972777,6602.67,22.1812,True,5,STY_1
CUP_1,LIB_1,19293.696126633644,10473.202595579665,8820.49,29.6319,True,3,STY_1
CUP_1,STY_1,10769.435265452586,18997.46345676072,8228.03,27.6415,True,4,STY_1
LBR_1,LIB_1,23556.016192127176,6210.882530086131,17345.13,58.2699,True,1,STY_1
LBR_1,STY_1,13693.423331556558,16073.475390656746,2380.05,7.9956,True,8,STY_1
LIB_1,STY_1,7631.979721238829,22134.919000974478,14502.94,48.7217,True,2,STY_1
