state_fips,state_abbr,winner_code,winner_label,runner_up_code,runner_up_label,n_respondents,n_irv_rounds,r1_pct_LIB,r1_pct_REF,r1_pct_CTR,r1_pct_SD,r1_pct_CON
1,AL,RH,CON,DH,REF,661,4,14.3,19.78,17.23,21.6,27.1
2,AK,MW,SD,LK,CTR,105,4,15.81,14.29,24.2,21.45,24.25
4,AZ,MW,SD,RH,CON,1159,4,19.15,30.06,10.71,21.98,18.09
5,AR,RH,CON,LK,CTR,390,4,12.59,19.19,20.8,24.0,23.42
6,CA,MW,SD,CO,LIB,3626,4,22.7,19.26,15.24,29.86,12.94
8,CO,MW,SD,CO,LIB,785,4,23.8,23.13,9.42,23.67,19.97
9,CT,CO,LIB,MW,SD,465,4,26.96,13.59,14.11,21.74,23.6
10,DE,CO,LIB,LK,CTR,164,4,22.5,10.64,25.93,18.51,22.43
11,DC,CO,LIB,RH,CON,122,4,47.46,7.01,9.75,22.37,13.41
12,FL,RH,CON,LK,CTR,3350,4,15.1,15.96,20.57,24.77,23.6
13,GA,MW,SD,LK,CTR,1489,4,14.37,16.99,20.46,27.77,20.41
15,HI,MW,SD,LK,CTR,153,4,16.87,14.15,18.83,31.54,18.61
16,ID,DH,REF,RH,CON,244,4,10.85,32.06,12.18,21.38,23.53
17,IL,CO,LIB,MW,SD,1758,4,23.45,16.29,17.78,21.9,20.58
18,IN,RH,CON,LK,CTR,978,4,14.81,18.86,18.87,21.79,25.67
19,IA,RH,CON,DH,REF,490,4,16.38,21.65,18.0,23.26,20.71
20,KS,RH,CON,DH,REF,385,4,16.4,21.32,10.3,27.93,24.05
21,KY,RH,CON,DH,REF,674,4,12.64,25.41,14.39,20.33,27.23
22,LA,RH,CON,DH,REF,493,4,9.6,22.8,19.38,20.5,27.7
23,ME,RH,CON,MW,SD,236,4,31.45,19.62,8.15,19.32,21.46
24,MD,MW,SD,CO,LIB,791,4,27.49,21.44,14.31,22.68,14.08
25,MA,MW,SD,CO,LIB,906,4,26.22,16.56,10.78,27.22,19.21
26,MI,RH,CON,DH,REF,1531,4,19.86,24.46,16.0,18.58,21.09
27,MN,CO,LIB,MW,SD,811,3,29.64,22.16,13.85,16.78,17.57
28,MS,RH,CON,DH,REF,349,4,6.99,22.34,13.42,32.97,24.28
29,MO,RH,CON,DH,REF,1047,4,16.96,20.76,14.16,23.78,24.35
30,MT,MW,SD,CO,LIB,185,3,16.07,20.83,9.57,27.9,25.63
31,NE,RH,CON,DH,REF,286,4,23.07,19.66,13.04,17.46,26.77
32,NV,MW,SD,DH,REF,573,4,12.95,20.63,16.84,29.94,19.65
33,NH,CO,LIB,MW,SD,252,4,28.3,13.35,18.65,25.63,14.07
34,NJ,MW,SD,CO,LIB,1241,4,22.64,18.21,12.62,26.29,20.24
35,NM,MW,SD,LK,CTR,309,3,13.37,17.26,15.99,33.2,20.18
36,NY,MW,SD,LK,CTR,2585,4,21.98,18.48,16.53,26.65,16.36
37,NC,RH,CON,DH,REF,1444,4,18.19,23.01,14.76,22.5,21.54
38,ND,RH,CON,DH,REF,90,4,16.57,22.7,13.16,18.88,28.69
39,OH,RH,CON,DH,REF,1978,4,16.56,21.26,17.96,21.11,23.11
40,OK,RH,CON,DH,REF,537,4,9.42,23.23,20.61,23.09,23.65
41,OR,MW,SD,CO,LIB,810,4,24.82,24.11,6.96,30.51,13.6
42,PA,MW,SD,CO,LIB,2418,4,20.63,19.16,13.12,26.33,20.75
44,RI,MW,SD,CO,LIB,176,4,26.19,18.26,11.92,25.8,17.82
45,SC,MW,SD,CO,LIB,736,4,16.09,17.35,11.66,27.85,27.06
46,SD,LK,CTR,CO,LIB,137,4,15.96,29.79,20.32,13.81,20.12
47,TN,RH,CON,DH,REF,1065,4,9.92,22.21,17.91,18.0,31.96
48,TX,MW,SD,LK,CTR,3392,4,13.48,18.3,18.51,28.7,21.02
49,UT,MW,SD,LK,CTR,387,4,16.01,20.92,16.26,31.33,15.48
50,VT,CO,LIB,MW,SD,105,3,43.15,9.94,20.62,14.86,11.42
51,VA,MW,SD,CO,LIB,1234,4,22.15,18.25,17.93,21.85,19.83
53,WA,CO,LIB,MW,SD,1112,4,29.28,17.69,12.77,25.55,14.71
54,WV,RH,CON,LK,CTR,335,4,6.48,14.11,22.79,25.3,31.32
55,WI,RH,CON,DH,REF,1088,4,18.3,22.01,12.72,24.24,22.72
56,WY,RH,CON,CO,LIB,70,4,12.72,31.33,16.34,10.92,28.69
