state_fips,state_abbr,senator_code,senator_label,senator_party,senator_type,primary_cluster,secondary_cluster,total_weighted_respondents,n_candidates_in_race,n_finalists,finalist_CON_1_pct,finalist_CON_2_pct,finalist_CUP_1_pct,finalist_NAT_1_pct,finalist_STY_1_pct,finalist_LBR_1_pct,finalist_LIB_1_pct,finalist_POP_1_pct,finalist_PRG_1_pct,finalist_OAO_1_pct,finalist_LIB_2_pct,finalist_LBR_2_pct,finalist_DSA_1_pct,finalist_PRG_2_pct
1,AL,CON_1,CON_1,CON,pure,0,,424.51,19,5,31.8419,0.0,15.1169,15.6369,37.4043,,,,,,,,,
2,AK,LBR_1,LBR_1,LBR,pure,1,,75.48,20,5,27.229,,17.6308,,17.0287,22.6037,15.5077,,,,,,,
4,AZ,CON_1,CON_1,CON,pure,0,,727.98,23,5,23.3635,,,18.6801,,24.5639,19.3407,14.0517,,,,,,
5,AR,CON_1,CON_1,CON,pure,0,,249.58,22,5,24.9379,,13.3917,12.103,,36.5967,,12.9708,,,,,,
6,CA,LBR_1,LBR_1,LBR,pure,1,,2399.22,22,5,20.74,,,12.2071,17.2776,23.001,26.7743,,,,,,,
8,CO,LBR_1,LBR_1,LBR,pure,1,,523.77,21,5,31.0062,,,,,23.1106,15.9904,18.0726,11.8201,,,,,
9,CT,CON_1,CON_1,CON,pure,0,,309.17,22,5,26.4949,,,,,21.402,20.2267,19.6824,12.194,,,,,
10,DE,LBR_1,LBR_1,LBR,pure,1,,134.07,20,5,38.0861,0.0,,,,29.7078,17.6214,,,14.5847,,,,
11,DC,LBR_1,LBR_1,LBR,pure,1,,76.06,19,5,,,,,,31.0868,32.3181,21.9066,14.6885,,0.0,,,
12,FL,CON_1,CON_1,CON,pure,0,,1863.69,23,5,34.6708,,16.169,,16.678,19.3511,13.1311,,,,,,,
13,GA,LBR_1,LBR_1,LBR,pure,1,,879.55,20,5,36.3025,,11.8352,,14.7933,19.5782,17.4908,,,,,,,
15,HI,LBR_1,LBR_1,LBR,pure,1,,127.65,20,5,29.5523,,,,,28.7033,28.9091,12.8353,,,,0.0,,
16,ID,CON_1,CON_1,CON,pure,0,,201.67,20,5,26.4329,,,16.3473,,21.2446,14.8791,21.0961,,,,,,
17,IL,LBR_1,LBR_1,LBR,pure,1,,916.03,22,5,27.5164,,13.7248,,,21.7456,24.5644,12.4488,,,,,,
18,IN,CON_1,CON_1,CON,pure,0,,606.87,22,5,30.3074,,,16.0419,16.9106,18.249,18.4911,,,,,,,
19,IA,CON_1,CON_1,CON,pure,0,,273.07,23,5,28.7517,,16.4656,15.9133,,24.3892,14.4802,,,,,,,
20,KS,CON_1,CON_1,CON,pure,0,,229.18,20,5,44.4017,0.0,,,15.5094,17.0813,23.0076,,,,,,,
21,KY,CON_1,CON_1,CON,pure,0,,427.15,22,5,25.1019,,14.8384,14.6827,,31.9039,,13.4731,,,,,,
22,LA,CON_1,CON_1,CON,pure,0,,303.31,19,5,25.9321,,18.2567,17.5924,14.0601,24.1587,,,,,,,,
23,ME,LIB_1,LIB_1,LIB,pure,4,,153.36,24,5,24.5564,,,,,21.7689,23.9509,19.2382,10.4856,,,,,
24,MD,LBR_1,LBR_1,LBR,pure,1,,480.63,22,5,25.6092,,,,,28.4814,15.2227,17.1098,13.5769,,,,,
25,MA,LBR_1,LBR_1,LBR,pure,1,,502.68,23,5,28.6492,,,,,27.1073,19.5742,11.2532,13.4161,,,,,
26,MI,CON_1,CON_1,CON,pure,0,,835.95,20,5,26.1237,,,16.0273,,23.4164,21.6523,12.7803,,,,,,
27,MN,LIB_1,LIB_1,LIB,pure,4,,461.07,23,5,26.9384,,,,,17.7119,20.851,19.1862,15.3125,,,,,
