state_fips,state_abbr,senator_code,senator_label,senator_party,senator_type,primary_cluster,secondary_cluster,total_weighted_respondents,n_candidates_in_race,n_finalists,finalist_CON_1_pct,finalist_CON_2_pct,finalist_CUP_1_pct,finalist_LBR_1_pct,finalist_STY_1_pct,finalist_LIB_1_pct,finalist_NAT_1_pct,finalist_POP_1_pct,finalist_LIB_2_pct,finalist_PRG_1_pct,finalist_LBR_2_pct,finalist_OAO_1_pct,finalist_DSA_1_pct
1,AL,CON_1,CON_1,CON,pure,0,,580.92,19,5,42.6732,0.0,13.099,20.3105,23.9173,,,,,,,,
2,AK,LBR_1,LBR_1,LBR,pure,1,,104.17,20,5,24.2884,,18.7667,22.724,21.2264,12.9945,,,,,,,
4,AZ,CON_1,CON_1,CON,pure,0,,953.31,23,5,26.2205,,,20.9028,17.6384,17.0308,18.2075,,,,,,
5,AR,CON_1,CON_1,CON,pure,0,,334.29,22,5,33.6658,,13.656,31.8497,9.0745,,,11.754,,,,,
6,CA,LBR_1,LBR_1,LBR,pure,1,,3215.74,22,5,26.5293,,8.8861,21.909,19.932,22.7436,,,,,,,
8,CO,LBR_1,LBR_1,LBR,pure,1,,682.39,21,5,29.9609,,,21.4669,7.9002,24.2281,,16.4438,,,,,
9,CT,LBR_1,LBR_1,LBR,pure,1,,400.67,22,5,24.4344,,8.5943,21.8647,,27.1457,,17.9609,,,,,
10,DE,LBR_1,LBR_1,LBR,pure,1,,177.33,20,5,34.6914,0.0,,31.9281,10.2447,23.1357,,,,,,,
11,DC,LBR_1,LBR_1,LBR,pure,1,,97.71,19,5,,,,33.7406,,29.4224,,23.974,0.0,12.8629,,,
12,FL,LBR_1,LBR_1,LBR,pure,1,,2549.69,23,5,30.2342,,17.4001,27.5841,15.5385,,,9.2431,,,,,
13,GA,LBR_1,LBR_1,LBR,pure,1,,1188.35,20,5,30.6603,,14.7052,32.333,12.6743,,,9.6272,,,,,
15,HI,LBR_1,LBR_1,LBR,pure,1,,167.2,20,5,28.7725,,,31.082,,26.1527,,13.9928,,,0.0,,
16,ID,CON_1,CON_1,CON,pure,0,,266.18,20,5,22.8039,,13.165,32.1553,,,14.4941,17.3817,,,,,
17,IL,LBR_1,LBR_1,LBR,pure,1,,1199.9,22,5,26.6032,,15.0119,23.5827,,21.697,,13.1052,,,,,
18,IN,CON_1,CON_1,CON,pure,0,,808.95,22,5,36.2135,,15.1195,17.7849,16.1555,14.7266,,,,,,,
19,IA,LBR_1,LBR_1,LBR,pure,1,,363.55,23,5,22.899,,15.5473,29.8961,17.6685,,13.9892,,,,,,
20,KS,STY_1,STY_1,STY,pure,2,,303.92,20,5,42.5995,0.0,,17.7309,19.5809,20.0887,,,,,,,
21,KY,CON_1,CON_1,CON,pure,0,,578.36,22,5,33.2313,,15.1737,25.8877,13.4213,,,12.2861,,,,,
22,LA,CON_1,CON_1,CON,pure,0,,409.89,19,5,24.7242,,19.0261,22.6128,18.4013,,15.2357,,,,,,
23,ME,LBR_1,LBR_1,LBR,pure,1,,200.27,24,5,23.8654,,,21.2292,7.5161,29.4072,,17.9821,,,,,
24,MD,LBR_1,LBR_1,LBR,pure,1,,638.0,22,5,24.5512,,,26.4984,11.696,23.5182,,13.7363,,,,,
25,MA,LBR_1,LBR_1,LBR,pure,1,,653.18,23,5,27.7912,,,25.7837,8.7081,28.3508,,9.3661,,,,,
26,MI,CON_1,CON_1,CON,pure,0,,1093.6,20,5,36.6655,,,21.2783,9.6508,18.773,,13.6323,,,,,
27,MN,CON_1,CON_1,CON,pure,0,,593.36,23,5,26.8825,,,19.8224,,19.2266,,20.733,,13.3355,,,
28,MS,STY_1,STY_1,STY,pure,2,,349.17,19,5,32.6156,,,19.5478,25.8561,,,10.1457,,,,11.8348,
29,MO,LBR_1,LBR_1,LBR,pure,1,,768.12,21,5,25.4195,,12.7017,31.8458,18.2607,,11.7723,,,,,,
30,MT,LBR_1,LBR_1,LBR,pure,1,,211.37,22,5,24.1098,,,18.8234,16.0079,19.0096,22.0493,,,,,,
31,NE,LBR_1,LBR_1,LBR,pure,1,,238.17,22,5,25.8257,,17.8618,30.6687,11.534,,,14.1098,,,,,
32,NV,LBR_1,LBR_1,LBR,pure,1,,574.98,21,5,28.2835,,,21.6015,19.111,19.5134,11.4906,,,,,,
33,NH,LBR_1,LBR_1,LBR,pure,1,,218.04,22,5,27.4625,,,25.3493,,15.7952,,13.1655,,,,,18.2274
34,NJ,LBR_1,LBR_1,LBR,pure,1,,956.22,22,5,32.5724,,9.5449,20.6838,12.7385,24.4604,,,,,,,
35,NM,LBR_1,LBR_1,LBR,pure,1,,333.61,21,5,26.5107,,15.9406,26.7628,14.1338,16.6521,,,,,,,
36,NY,LBR_1,LBR_1,LBR,pure,1,,1889.68,23,5,27.4266,,10.6652,23.9903,16.5948,21.323,,,,,,,
37,NC,CON_1,CON_1,CON,pure,0,,1186.44,23,5,36.1947,,,18.0944,13.4169,17.8038,,14.4903,,,,,
38,ND,CON_1,CON_1,CON,pure,0,,90.72,22,5,28.5697,,16.5987,23.1511,,15.7755,,15.9051,,,,,
39,OH,CON_1,CON_1,CON,pure,0,,1403.78,22,5,38.7439,,14.2637,16.9146,15.9072,14.1706,,,,,,,
40,OK,STY_1,STY_1,STY,pure,2,,493.41,23,5,24.7404,,24.3631,,24.9822,,16.5718,9.3425,,,,,
41,OR,LIB_1,LIB_1,LIB,pure,4,,720.62,23,5,23.6837,,,27.084,,16.8747,16.2342,,,16.1235,,,
42,PA,LBR_1,LBR_1,LBR,pure,1,,1804.01,22,5,35.4016,,9.488,19.3178,12.5616,23.231,,,,,,,
44,RI,LBR_1,LBR_1,LBR,pure,1,,134.3,24,5,26.1122,,,24.8593,9.5525,28.595,,10.8809,,,,,
45,SC,LBR_1,LBR_1,LBR,pure,1,,590.93,21,5,34.1243,,11.0743,28.9962,14.0589,,,11.7462,,,,,
46,SD,CON_1,CON_1,CON,pure,0,,114.24,22,5,33.3826,,19.0345,15.4498,19.3658,12.7673,,,,,,,
