candidate_code,party,axis,direction,URBAN,SUBURBAN,RURAL,NATIONAL,pct_national
CON_hi_pc,CON,pc,hi,48,33,12,93,10.94
CON_lo_pc,CON,pc,lo,49,25,5,79,9.29
CON_lo_es,CON,es,lo,24,23,9,56,6.59
LBR_hi_so,LBR,so,hi,36,15,2,53,6.24
STY_lo_es,STY,es,lo,31,17,2,50,5.88
LBR_lo_so,LBR,so,lo,32,12,5,49,5.76
LIB,LIB,base,base,28,13,4,45,5.29
CUP_lo_pc,CUP,pc,lo,25,11,2,38,4.47
POP_lo_es,POP,es,lo,15,17,4,36,4.24
CON_hi_es,CON,es,hi,16,8,10,34,4.0
LBR_lo_es,LBR,es,lo,22,7,3,32,3.76
LBR_hi_es,LBR,es,hi,11,9,6,26,3.06
DSA_lo_es,DSA,es,lo,18,8,0,26,3.06
NAT_lo_es,NAT,es,lo,8,12,5,25,2.94
POP_lo_pc,POP,pc,lo,11,7,5,23,2.71
LIB_hi_pc,LIB,pc,hi,14,6,2,22,2.59
PRG,PRG,base,base,15,5,1,21,2.47
LIB_lo_pc,LIB,pc,lo,15,5,0,20,2.35
POP_hi_es,POP,es,hi,9,6,1,16,1.88
STY_hi_es,STY,es,hi,11,2,1,14,1.65
NAT_hi_es,NAT,es,hi,6,5,2,13,1.53
CUP_hi_pc,CUP,pc,hi,7,2,4,13,1.53
STY_hi_pc,STY,pc,hi,6,5,1,12,1.41
STY_hi_so,STY,so,hi,6,3,1,10,1.18
LBR_lo_pc,LBR,pc,lo,5,2,2,9,1.06
STY_lo_so,STY,so,lo,3,3,0,6,0.71
POP_hi_pc,POP,pc,hi,0,4,2,6,0.71
OAO,OAO,base,base,2,3,1,6,0.71
STY_lo_pc,STY,pc,lo,2,2,0,4,0.47
DSA_hi_es,DSA,es,hi,3,0,1,4,0.47
LBR_hi_pc,LBR,pc,hi,2,1,0,3,0.35
NAT,NAT,base,base,0,1,1,2,0.24
CUP,CUP,base,base,0,1,1,2,0.24
POP,POP,base,base,0,0,1,1,0.12
CON,CON,base,base,1,0,0,1,0.12
