state_fips,state_abbr,senator_code,senator_label,senator_party,senator_type,primary_cluster,secondary_cluster,total_weighted_respondents,n_candidates_in_race,n_finalists,finalist_CON_1_pct,finalist_CON_2_pct,finalist_CUP_1_pct,finalist_DSA_1_pct,finalist_STY_1_pct,finalist_LBR_1_pct,finalist_LIB_1_pct,finalist_NAT_1_pct,finalist_POP_1_pct,finalist_LIB_2_pct,finalist_PRG_1_pct,finalist_LBR_2_pct,finalist_OAO_1_pct
1,AL,CON_1,CON_1,CON,pure,0,,472.15,19,5,45.7309,0.0,15.115,13.4296,25.7246,,,,,,,,
2,AK,LBR_1,LBR_1,LBR,pure,1,,84.19,20,5,26.1097,,18.0763,,18.6484,22.6218,14.5438,,,,,,
4,AZ,CON_1,CON_1,CON,pure,0,,796.21,23,5,26.2339,,,,15.4916,20.4125,18.4871,19.375,,,,,
5,AR,CON_1,CON_1,CON,pure,0,,275.25,22,5,35.2828,,13.3099,,7.6878,32.3681,,,11.3515,,,,
6,CA,LBR_1,LBR_1,LBR,pure,1,,2646.63,22,5,21.4508,,,,14.116,23.0246,25.4129,,15.9957,,,,
8,CO,LBR_1,LBR_1,LBR,pure,1,,571.69,21,5,30.452,,,,6.5268,20.7434,26.1952,,16.0827,,,,
9,CT,CON_1,CON_1,CON,pure,0,,336.8,22,5,24.8564,,8.119,,,20.4858,29.3016,,17.2371,,,,
10,DE,LBR_1,LBR_1,LBR,pure,1,,147.16,20,5,35.5854,0.0,,,8.7674,31.0863,24.5608,,,,,,
11,DC,LBR_1,LBR_1,LBR,pure,1,,82.58,19,5,,,,,,32.0507,31.2539,,22.6609,0.0,14.0344,,
12,FL,LBR_1,LBR_1,LBR,pure,1,,2072.18,23,5,32.0124,,17.3353,,13.0963,28.5056,,,9.0504,,,,
13,GA,LBR_1,LBR_1,LBR,pure,1,,973.15,20,5,35.3504,,12.1209,,16.268,19.7061,16.5546,,,,,,
15,HI,LBR_1,LBR_1,LBR,pure,1,,139.57,20,5,29.2843,,,,,29.5597,27.8966,,13.2594,,,0.0,
16,ID,CON_1,CON_1,CON,pure,0,,221.19,20,5,26.2794,,,,,21.8887,14.2046,15.6565,21.9708,,,,
17,IL,LBR_1,LBR_1,LBR,pure,1,,1001.97,22,5,27.185,,14.2097,,,22.4185,23.504,,12.6828,,,,
18,IN,CON_1,CON_1,CON,pure,0,,668.15,22,5,37.9482,,14.4949,,13.968,17.4643,16.1246,,,,,,
19,IA,CON_1,CON_1,CON,pure,0,,300.5,23,5,37.3614,,12.5271,,,23.8021,13.8108,,12.4985,,,,
