candidate_code,party,axis,direction,URBAN,SUBURBAN,RURAL,NATIONAL,pct_national
CON_hi_pc,CON,pc,hi,49,34,12,95,11.18
CON_lo_pc,CON,pc,lo,50,25,7,82,9.65
LBR_hi_so,LBR,so,hi,36,20,1,57,6.71
CON_lo_es,CON,es,lo,23,24,8,55,6.47
LBR_lo_so,LBR,so,lo,34,12,5,51,6.0
LIB,LIB,base,base,28,14,3,45,5.29
STY_lo_es,STY,es,lo,27,15,2,44,5.18
CUP_lo_pc,CUP,pc,lo,28,12,3,43,5.06
POP_lo_es,POP,es,lo,14,16,4,34,4.0
CON_hi_es,CON,es,hi,16,8,10,34,4.0
LBR_lo_es,LBR,es,lo,22,7,3,32,3.76
NAT_lo_es,NAT,es,lo,11,12,6,29,3.41
LIB_hi_pc,LIB,pc,hi,15,7,3,25,2.94
DSA_lo_es,DSA,es,lo,17,8,0,25,2.94
LBR_hi_es,LBR,es,hi,12,7,5,24,2.82
POP_lo_pc,POP,pc,lo,11,7,5,23,2.71
PRG,PRG,base,base,14,6,2,22,2.59
LIB_lo_pc,LIB,pc,lo,14,5,0,19,2.24
NAT_hi_es,NAT,es,hi,9,6,2,17,2.0
POP_hi_es,POP,es,hi,8,6,1,15,1.76
CUP_hi_pc,CUP,pc,hi,7,1,4,12,1.41
STY_hi_es,STY,es,hi,9,2,1,12,1.41
STY_hi_pc,STY,pc,hi,5,5,0,10,1.18
STY_hi_so,STY,so,hi,6,3,1,10,1.18
LBR_lo_pc,LBR,pc,lo,5,1,1,7,0.82
OAO,OAO,base,base,3,3,1,7,0.82
POP_hi_pc,POP,pc,hi,0,4,2,6,0.71
DSA_hi_es,DSA,es,hi,3,0,1,4,0.47
STY_lo_so,STY,so,lo,2,1,0,3,0.35
NAT,NAT,base,base,0,1,1,2,0.24
CUP,CUP,base,base,0,1,1,2,0.24
POP,POP,base,base,0,0,1,1,0.12
STY_lo_pc,STY,pc,lo,1,0,0,1,0.12
LBR_hi_pc,LBR,pc,hi,1,0,0,1,0.12
CON,CON,base,base,1,0,0,1,0.12
