candidate_code,party,axis,direction,URBAN,SUBURBAN,RURAL,NATIONAL,pct_national
CON_hi_pc,CON,pc,hi,81,49,19,149,9.28
CON_lo_pc,CON,pc,lo,78,33,20,131,8.16
CON_lo_id,CON,id,lo,54,37,19,110,6.85
LBR_hi_so,LBR,so,hi,61,22,11,94,5.86
LBR_lo_so,LBR,so,lo,59,20,5,84,5.23
CON_hi_id,CON,id,hi,40,19,12,71,4.42
CUP_lo_pc,CUP,pc,lo,49,14,7,70,4.36
NAT_lo_id,NAT,id,lo,32,25,12,69,4.3
STY_lo_id,STY,id,lo,44,21,3,68,4.24
LIB,LIB,base,base,40,22,5,67,4.17
LBR_lo_id,LBR,id,lo,42,16,6,64,3.99
DSA_lo_id,DSA,id,lo,47,15,2,64,3.99
POP_lo_id,POP,id,lo,28,20,5,53,3.3
LBR_hi_id,LBR,id,hi,32,14,6,52,3.24
PRG,PRG,base,base,38,11,1,50,3.12
LIB_lo_pc,LIB,pc,lo,41,7,2,50,3.12
CUP_hi_pc,CUP,pc,hi,21,11,8,40,2.49
NAT_hi_id,NAT,id,hi,27,7,3,37,2.31
POP_lo_pc,POP,pc,lo,21,10,5,36,2.24
LIB_hi_pc,LIB,pc,hi,19,10,2,31,1.93
POP_hi_id,POP,id,hi,22,5,4,31,1.93
OAO,OAO,base,base,14,7,5,26,1.62
STY_hi_pc,STY,pc,hi,16,8,1,25,1.56
STY_hi_id,STY,id,hi,13,5,4,22,1.37
LBR_lo_pc,LBR,pc,lo,9,5,4,18,1.12
STY_hi_so,STY,so,hi,9,7,0,16,1.0
STY_lo_pc,STY,pc,lo,8,4,3,15,0.93
POP_hi_pc,POP,pc,hi,3,5,6,14,0.87
STY_lo_so,STY,so,lo,8,2,1,11,0.69
DSA_hi_id,DSA,id,hi,5,1,2,8,0.5
LBR_hi_pc,LBR,pc,hi,4,1,2,7,0.44
CON,CON,base,base,1,0,5,6,0.37
CUP,CUP,base,base,2,2,0,4,0.25
DSA,DSA,base,base,1,1,1,3,0.19
STY,STY,base,base,1,1,1,3,0.19
NAT,NAT,base,base,1,2,0,3,0.19
POP,POP,base,base,2,0,0,2,0.12
LBR,LBR,base,base,0,1,0,1,0.06
