candidate_code,party,axis,direction,URBAN,SUBURBAN,RURAL,NATIONAL,pct_national
CON_hi_pc,CON,pc,hi,85,47,20,152,9.47
CON_lo_pc,CON,pc,lo,78,32,20,130,8.1
CON_lo_id,CON,id,lo,54,39,16,109,6.79
LBR_hi_so,LBR,so,hi,58,22,10,90,5.61
LBR_lo_so,LBR,so,lo,58,20,5,83,5.17
NAT_lo_id,NAT,id,lo,36,26,15,77,4.8
CON_hi_id,CON,id,hi,42,20,14,76,4.74
LIB,LIB,base,base,43,23,5,71,4.42
CUP_lo_pc,CUP,pc,lo,49,12,7,68,4.24
LBR_lo_id,LBR,id,lo,43,17,7,67,4.17
DSA_lo_id,DSA,id,lo,46,15,2,63,3.93
STY_lo_id,STY,id,lo,37,19,1,57,3.55
PRG,PRG,base,base,43,13,1,57,3.55
LBR_hi_id,LBR,id,hi,33,15,6,54,3.36
POP_lo_id,POP,id,lo,23,21,5,49,3.05
LIB_lo_pc,LIB,pc,lo,39,8,2,49,3.05
NAT_hi_id,NAT,id,hi,29,6,3,38,2.37
CUP_hi_pc,CUP,pc,hi,20,11,7,38,2.37
POP_lo_pc,POP,pc,lo,20,11,6,37,2.31
LIB_hi_pc,LIB,pc,hi,22,10,3,35,2.18
POP_hi_id,POP,id,hi,24,4,3,31,1.93
OAO,OAO,base,base,13,7,5,25,1.56
STY_hi_pc,STY,pc,hi,12,8,1,21,1.31
LBR_lo_pc,LBR,pc,lo,10,4,4,18,1.12
STY_hi_id,STY,id,hi,11,4,3,18,1.12
STY_hi_so,STY,so,hi,10,7,0,17,1.06
STY_lo_pc,STY,pc,lo,8,3,3,14,0.87
POP_hi_pc,POP,pc,hi,1,4,7,12,0.75
STY_lo_so,STY,so,lo,7,3,1,11,0.69
LBR_hi_pc,LBR,pc,hi,5,2,2,9,0.56
DSA_hi_id,DSA,id,hi,5,2,1,8,0.5
CON,CON,base,base,2,0,5,7,0.44
CUP,CUP,base,base,2,1,0,3,0.19
DSA,DSA,base,base,1,1,1,3,0.19
NAT,NAT,base,base,1,2,0,3,0.19
POP,POP,base,base,2,0,0,2,0.12
STY,STY,base,base,1,0,1,2,0.12
LBR,LBR,base,base,0,1,0,1,0.06
