state_fips,state_abbr,finalist_code,finalist_party,first_choice_pct,inc_CON,inc_OAO,inc_POP,inc_LBR,inc_CUP,inc_LIB,inc_DSA,inc_PRG,inc_NAT,inc_STY
11,DC,LBR_1,LBR,19.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,DC,LIB_1,LIB,26.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,DC,LIB_2,LIB,0.0,13.14,1.33,0.0,0.59,1.74,9.35,3.79,0.0,0.0,0.0
11,DC,POP_1,POP,11.46,0.0,0.0,0.0,0.0,1.85,0.0,0.0,0.0,0.0,4.35
11,DC,PRG_1,PRG,11.48,0.0,0.0,0.0,0.0,0.0,0.0,5.45,0.0,0.0,0.0
12,FL,CON_1,CON,21.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,FL,CUP_1,CUP,11.11,1.65,3.8,0.0,0.0,0.0,2.82,0.0,0.0,0.0,0.51
12,FL,LBR_1,LBR,13.64,0.0,1.01,0.0,0.0,0.0,7.76,4.9,0.0,0.0,0.0
12,FL,POP_1,POP,8.91,1.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.44,2.79
12,FL,STY_1,STY,15.36,0.53,0.0,0.0,2.52,0.0,0.0,1.47,0.0,0.0,0.0
13,GA,CON_1,CON,21.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,GA,CUP_1,CUP,10.14,1.72,2.64,0.0,0.0,0.0,2.5,0.0,0.0,3.69,0.0
13,GA,LBR_1,LBR,16.32,0.0,0.0,0.0,0.0,0.0,11.68,2.53,0.0,0.0,0.0
13,GA,POP_1,POP,8.66,1.27,0.0,0.0,0.0,1.39,0.0,0.0,0.0,5.61,0.81
13,GA,STY_1,STY,13.38,0.0,1.66,0.0,1.85,0.0,0.0,0.0,0.0,0.0,0.0
15,HI,CON_1,CON,20.85,0.0,5.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,HI,LBR_1,LBR,24.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,HI,LBR_2,LBR,0.0,0.0,0.0,1.68,6.82,0.0,0.0,1.56,2.71,0.0,4.92
15,HI,LIB_1,LIB,16.95,0.0,5.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,HI,POP_1,POP,9.79,1.75,0.0,0.0,0.0,1.05,0.0,0.0,0.0,3.44,3.44
16,ID,CON_1,CON,21.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,ID,CUP_1,CUP,11.18,1.15,1.41,0.0,0.0,0.0,1.14,0.0,0.0,15.3,0.85
16,ID,LBR_1,LBR,10.0,0.83,1.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.31
16,ID,LIB_1,LIB,7.35,0.0,1.13,0.0,0.0,0.0,0.0,8.1,1.44,0.0,0.0
16,ID,POP_1,POP,15.94,2.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,IL,CON_1,CON,20.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,IL,CUP_1,CUP,10.4,0.67,4.79,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.94
17,IL,LBR_1,LBR,13.21,0.0,0.0,0.0,0.0,0.0,0.0,4.63,0.0,0.0,4.21
17,IL,LIB_1,LIB,11.59,0.0,1.95,0.0,0.0,0.0,0.0,0.0,8.71,0.0,0.0
17,IL,POP_1,POP,8.45,1.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.17,1.43
18,IN,CON_1,CON,19.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,IN,CUP_1,CUP,10.9,0.56,3.7,1.75,0.0,0.0,0.0,0.0,0.0,0.0,3.38
18,IN,LBR_1,LBR,12.48,0.0,0.0,0.0,0.0,0.0,0.0,4.27,0.0,0.0,0.0
18,IN,LIB_1,LIB,7.68,0.0,1.59,0.0,0.0,2.03,0.0,2.14,2.79,16.16,0.0
18,IN,STY_1,STY,11.48,0.0,1.83,7.07,0.0,0.0,0.0,0.58,0.0,0.0,0.0
19,IA,CON_1,CON,19.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,IA,CUP_1,CUP,9.39,1.13,3.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.45
19,IA,LBR_1,LBR,13.3,0.0,1.1,0.0,0.0,0.0,0.0,6.01,0.0,0.0,0.0
19,IA,NAT_1,NAT,13.35,0.0,0.0,0.97,0.0,0.63,15.58,0.0,0.0,0.0,1.34
19,IA,STY_1,STY,9.37,0.0,0.0,9.76,2.73,0.0,0.0,0.99,0.0,0.0,0.0
20,KS,CON_1,CON,24.26,0.0,0.0,5.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,KS,CON_2,CON,0.0,7.3,0.65,0.0,0.0,2.98,0.0,0.0,0.0,8.65,0.0
20,KS,LBR_1,LBR,9.38,0.0,0.0,0.0,0.0,2.27,0.0,7.71,0.0,0.0,0.0
20,KS,LIB_1,LIB,11.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.42,0.0,0.0
20,KS,STY_1,STY,12.76,0.52,0.0,7.34,2.92,0.7,0.0,0.0,0.0,0.0,0.0
21,KY,CON_1,CON,22.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.29,0.0
21,KY,CUP_1,CUP,10.09,1.78,3.83,0.0,0.0,0.0,5.15,0.0,0.0,0.0,0.0
21,KY,LBR_1,LBR,11.78,0.0,0.84,0.0,0.0,0.0,0.0,4.16,0.0,0.0,0.0
21,KY,POP_1,POP,9.67,1.84,0.0,0.0,0.0,1.01,0.0,0.0,0.0,2.61,6.8
21,KY,STY_1,STY,14.5,0.0,0.0,0.0,0.0,2.91,4.91,0.0,0.0,0.0,0.0
22,LA,CON_1,CON,21.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,LA,CUP_1,CUP,14.22,1.28,3.44,0.0,0.0,0.0,1.66,0.0,0.0,0.0,0.0
22,LA,LBR_1,LBR,9.56,0.0,1.67,4.99,0.0,0.8,8.76,2.54,0.0,0.0,0.0
22,LA,NAT_1,NAT,14.46,0.79,0.0,3.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,LA,STY_1,STY,15.35,0.6,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0
23,ME,CON_1,CON,13.96,0.0,0.0,0.0,0.0,3.37,0.0,0.0,0.0,0.0,0.0
23,ME,LBR_1,LBR,12.96,0.0,1.99,0.0,0.0,0.89,3.16,0.0,1.2,0.0,0.0
23,ME,LIB_1,LIB,16.57,0.0,4.07,0.0,0.0,0.0,0.0,0.0,7.24,0.0,0.0
23,ME,POP_1,POP,15.02,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,7.18,0.0
23,ME,STY_1,STY,7.47,0.0,0.0,6.02,1.54,0.0,0.0,6.35,0.0,0.0,0.0
24,MD,CON_1,CON,13.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.43,0.0
24,MD,LBR_1,LBR,19.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82,0.0,0.0
24,MD,LIB_1,LIB,9.8,0.0,10.27,0.0,0.87,0.5,0.0,0.0,9.91,0.0,0.0
24,MD,POP_1,POP,9.99,0.87,0.0,0.0,0.0,2.42,0.0,0.0,0.0,2.72,0.93
24,MD,STY_1,STY,11.27,0.0,0.0,0.0,3.93,2.76,0.0,0.0,0.0,0.0,0.0
25,MA,CON_1,CON,18.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,MA,LBR_1,LBR,16.42,0.0,0.0,0.0,0.0,0.85,0.0,0.0,1.11,0.0,0.0
25,MA,LIB_1,LIB,13.44,0.0,4.34,0.0,0.0,0.0,0.0,0.0,9.94,0.0,0.0
25,MA,POP_1,POP,6.49,0.79,0.0,0.0,0.0,1.13,0.0,0.0,0.0,8.17,0.0
25,MA,STY_1,STY,8.51,0.0,3.16,0.0,0.0,0.94,0.88,6.49,0.0,0.0,0.0
26,MI,CON_1,CON,21.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.69,0.0
26,MI,LBR_1,LBR,13.35,0.0,1.05,0.0,0.0,0.0,0.0,5.15,0.0,0.0,0.0
26,MI,LIB_1,LIB,10.18,0.0,1.51,0.0,0.69,0.0,0.0,0.0,6.56,0.0,0.0
26,MI,POP_1,POP,9.4,2.2,0.0,0.0,0.0,3.61,0.0,0.0,0.0,3.07,2.97
26,MI,STY_1,STY,8.18,0.0,0.0,0.0,1.94,7.36,1.29,0.0,0.0,0.0,0.0
27,MN,CON_1,CON,15.54,0.0,0.0,0.0,0.0,2.88,0.0,0.0,0.0,0.0,0.0
27,MN,LBR_1,LBR,12.58,0.0,0.0,0.0,0.0,0.85,0.0,2.13,1.19,0.0,3.66
27,MN,LIB_1,LIB,14.6,0.0,3.27,0.0,1.46,0.0,0.0,0.59,11.49,0.0,0.0
27,MN,OAO_1,OAO,8.98,0.0,0.0,0.62,0.0,0.0,0.0,0.0,0.0,10.04,0.0
27,MN,POP_1,POP,11.05,1.0,0.0,0.0,0.97,1.08,0.0,0.0,0.0,0.0,3.69
28,MS,CON_1,CON,18.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.85,0.0
28,MS,LBR_1,LBR,11.77,0.0,0.0,0.0,0.0,0.0,3.3,2.3,0.0,0.0,0.0
28,MS,OAO_1,OAO,10.43,0.0,0.0,0.0,0.0,9.36,0.59,0.0,0.0,0.0,0.0
28,MS,STY_1,STY,25.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,MS,STY_2,STY,0.0,0.0,0.0,7.73,0.0,0.0,0.0,0.0,0.0,0.0,9.0
29,MO,CON_1,CON,22.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.63,0.0
29,MO,LBR_1,LBR,13.04,0.0,0.74,0.0,0.0,0.0,0.0,7.6,0.0,0.0,0.0
29,MO,LIB_1,LIB,7.31,0.0,0.84,2.35,0.58,2.05,0.0,1.31,2.31,0.0,0.0
29,MO,POP_1,POP,8.19,1.93,0.0,0.0,0.0,9.53,0.0,0.0,0.0,1.55,2.39
29,MO,STY_1,STY,13.95,0.82,0.0,0.0,4.15,0.0,0.0,0.7,0.0,0.0,0.0
30,MT,CON_1,CON,16.06,0.0,0.0,0.0,0.0,4.34,0.0,0.0,0.0,2.81,0.0
30,MT,LBR_1,LBR,12.57,0.0,0.0,0.0,0.0,2.83,0.51,3.93,0.0,0.0,0.0
30,MT,LIB_1,LIB,13.17,0.0,0.95,0.0,0.0,0.0,0.0,0.0,3.66,0.0,0.0
30,MT,NAT_1,NAT,20.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,MT,STY_1,STY,11.56,0.0,0.0,6.4,0.0,3.6,0.0,1.07,0.0,0.0,0.0
31,NE,CON_1,CON,18.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,NE,CUP_1,CUP,13.88,0.0,1.19,0.0,0.0,0.0,0.0,0.0,0.0,1.73,0.0
31,NE,LBR_1,LBR,14.62,0.0,0.85,0.0,0.0,0.0,7.23,9.81,0.0,0.0,0.0
31,NE,POP_1,POP,10.26,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.67,0.0
31,NE,STY_1,STY,11.04,0.0,0.84,0.94,5.43,0.55,1.26,1.45,0.0,0.0,0.0
32,NV,CON_1,CON,20.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.23,0.0
32,NV,LBR_1,LBR,17.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,NV,LIB_1,LIB,9.44,0.0,2.82,0.0,0.0,0.0,0.0,0.0,6.37,0.0,0.0
32,NV,POP_1,POP,8.58,1.89,0.0,0.0,0.0,10.41,0.0,0.0,0.0,5.1,0.84
32,NV,STY_1,STY,12.94,0.56,0.0,0.0,0.0,0.0,0.0,4.07,0.0,0.0,0.0
33,NH,CON_1,CON,11.97,0.0,0.0,6.98,0.0,0.0,0.0,0.0,0.0,2.58,0.0
33,NH,CUP_1,CUP,8.51,2.77,0.0,5.59,0.0,0.0,3.59,0.0,0.0,0.0,1.77
33,NH,DSA_1,DSA,11.38,0.0,1.73,0.87,0.0,0.55,2.18,0.0,14.76,0.0,0.0
33,NH,LBR_1,LBR,18.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,NH,OAO_1,OAO,13.17,1.88,0.0,0.0,0.0,4.29,0.0,0.0,0.0,0.0,0.0
34,NJ,CON_1,CON,17.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.09,0.0
34,NJ,CUP_1,CUP,7.19,0.0,2.82,0.0,0.0,0.0,4.25,0.0,0.0,0.0,4.92
34,NJ,LBR_1,LBR,13.5,0.0,0.0,0.0,0.0,0.0,0.0,5.76,0.0,0.0,0.0
34,NJ,LIB_1,LIB,12.61,0.0,2.82,0.0,0.0,0.0,0.0,0.0,8.78,0.0,0.0
34,NJ,STY_1,STY,8.69,0.0,1.66,6.84,1.87,0.0,3.49,0.0,0.0,1.2,0.0
35,NM,CON_1,CON,17.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,NM,CUP_1,CUP,12.58,0.0,1.58,2.11,0.0,0.0,0.0,0.0,0.0,1.21,1.14
35,NM,LBR_1,LBR,22.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,NM,LBR_2,LBR,0.0,0.0,0.0,0.0,5.55,1.71,15.78,4.07,0.0,0.0,4.66
35,NM,STY_1,STY,13.5,0.0,0.0,2.74,0.0,0.0,0.0,0.0,0.0,6.28,0.0
36,NY,CON_1,CON,15.32,0.0,0.0,4.97,0.0,0.0,0.0,0.0,0.0,4.44,0.0
36,NY,CUP_1,CUP,8.19,0.86,5.22,0.0,0.0,0.0,1.27,0.0,0.0,0.0,0.82
36,NY,LBR_1,LBR,16.02,0.0,0.0,0.0,0.0,0.0,0.0,5.22,0.0,0.0,0.0
36,NY,LIB_1,LIB,10.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.07,0.0,0.0
36,NY,STY_1,STY,10.04,0.0,3.86,6.32,3.13,0.0,1.63,1.32,0.0,0.0,0.0
37,NC,CON_1,CON,22.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.11,0.0
37,NC,LBR_1,LBR,11.3,0.0,2.62,0.0,0.0,0.0,0.0,4.1,0.0,0.0,0.0
37,NC,LIB_1,LIB,7.74,0.0,1.52,0.7,0.0,1.81,0.0,0.0,6.54,0.0,0.61
37,NC,POP_1,POP,10.39,2.19,0.0,0.0,0.0,2.17,0.0,0.0,0.0,3.01,4.28
37,NC,STY_1,STY,11.36,0.6,0.62,0.0,1.17,7.16,0.0,0.72,0.0,0.0,0.0
38,ND,CON_1,CON,23.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,ND,CUP_1,CUP,14.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.31
38,ND,LBR_1,LBR,16.06,0.0,0.0,0.0,0.0,0.0,0.0,2.44,0.0,0.0,0.0
38,ND,LIB_1,LIB,8.08,13.07,3.22,0.0,0.0,0.0,0.0,0.0,4.42,0.0,0.56
38,ND,POP_1,POP,14.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
39,OH,CON_1,CON,23.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.33,0.0
39,OH,CUP_1,CUP,10.9,3.05,2.49,1.59,0.0,0.0,0.0,0.0,0.0,0.0,3.72
39,OH,LBR_1,LBR,11.42,0.0,1.0,0.0,0.0,0.0,0.0,4.49,0.0,0.0,0.0
39,OH,LIB_1,LIB,8.75,0.0,0.9,0.0,0.0,3.32,0.0,1.06,2.77,0.0,0.0
39,OH,STY_1,STY,10.41,1.41,0.0,8.85,0.0,0.0,0.0,0.94,0.0,0.0,0.0
40,OK,CON_1,CON,23.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,OK,CUP_1,CUP,11.06,3.03,3.75,0.0,0.0,0.0,8.5,0.0,0.0,0.0,0.0
40,OK,NAT_1,NAT,15.82,0.87,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,OK,POP_1,POP,9.52,2.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.51
40,OK,STY_1,STY,10.61,0.58,0.0,0.0,8.76,0.0,4.77,2.8,0.0,0.0,0.0
41,OR,CON_1,CON,12.51,0.0,0.68,0.0,0.0,3.53,0.0,0.0,0.0,6.32,0.0
41,OR,LBR_1,LBR,12.19,0.0,0.0,0.0,0.0,1.7,0.0,0.0,0.0,0.0,3.57
41,OR,LIB_1,LIB,14.06,0.0,1.62,0.0,0.0,0.0,0.0,3.83,0.0,0.0,0.0
41,OR,POP_1,POP,8.48,0.0,0.0,0.0,0.0,0.83,1.67,5.31,0.0,7.89,1.07
41,OR,PRG_1,PRG,14.13,0.0,0.0,0.57,0.0,0.0,1.7,1.45,0.0,0.0,0.0
42,PA,CON_1,CON,21.51,0.0,0.0,0.0,0.0,4.47,0.0,0.0,0.0,0.0,0.0
42,PA,LBR_1,LBR,14.21,0.0,0.0,0.0,0.0,1.5,0.0,4.38,0.0,0.0,0.0
42,PA,LIB_1,LIB,12.75,0.0,1.64,0.0,0.0,0.97,0.0,0.0,7.95,0.0,0.0
42,PA,POP_1,POP,7.73,2.27,0.0,0.0,0.0,1.72,0.0,0.0,0.0,8.43,0.0
42,PA,STY_1,STY,7.88,0.71,2.04,1.58,1.57,0.76,3.09,0.56,0.0,0.0,0.0
44,RI,CON_1,CON,16.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.96,0.0
44,RI,LBR_1,LBR,16.43,1.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,RI,LIB_1,LIB,15.34,0.0,1.54,0.0,0.0,0.0,0.0,1.26,0.0,0.0,0.0
44,RI,POP_1,POP,8.94,1.39,0.0,0.0,0.0,14.64,0.0,0.0,0.0,1.88,3.77
44,RI,STY_1,STY,8.62,0.0,0.8,0.0,0.0,0.0,0.0,5.21,8.92,0.0,0.0
45,SC,CON_1,CON,22.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.68,0.0
45,SC,CUP_1,CUP,6.77,2.07,2.48,1.73,0.96,0.0,1.9,0.54,0.0,0.0,2.89
45,SC,LBR_1,LBR,13.88,0.0,0.61,0.0,0.0,0.0,6.31,0.0,0.0,0.0,0.0
45,SC,POP_1,POP,9.44,2.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.34,7.36
45,SC,STY_1,STY,12.63,1.21,0.0,0.0,2.64,0.0,0.0,10.59,0.0,0.0,0.0
46,SD,CON_1,CON,18.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,SD,CUP_1,CUP,13.43,0.0,4.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,SD,LBR_1,LBR,10.62,0.0,0.69,0.0,0.0,0.0,0.0,6.02,0.0,0.0,4.07
46,SD,LIB_1,LIB,6.36,0.0,1.49,0.0,4.08,0.0,0.0,1.7,2.56,13.89,0.0
46,SD,STY_1,STY,13.67,0.0,0.0,7.52,0.0,0.81,0.0,0.0,0.0,0.0,0.0
47,TN,CON_1,CON,29.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,TN,CON_2,CON,0.0,12.61,1.89,1.47,0.0,0.0,0.0,0.0,0.0,0.0,1.39
47,TN,CUP_1,CUP,8.68,0.0,4.38,0.99,0.0,0.0,0.9,0.0,0.0,16.26,1.08
47,TN,LBR_1,LBR,7.08,0.0,0.67,0.0,0.0,0.0,3.84,6.38,0.0,0.0,0.0
47,TN,STY_1,STY,10.34,0.0,0.0,6.3,0.97,0.0,0.0,1.68,0.0,0.0,0.0
48,TX,CON_1,CON,20.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,TX,CUP_1,CUP,10.35,1.41,4.0,0.0,0.57,0.0,1.52,0.0,0.0,3.89,0.0
48,TX,LBR_1,LBR,13.58,0.0,1.64,0.0,0.0,0.0,8.19,6.82,0.0,0.0,0.0
48,TX,POP_1,POP,7.28,1.43,0.0,0.0,3.25,2.82,0.0,0.0,0.0,5.92,0.0
48,TX,STY_1,STY,16.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,UT,CON_1,CON,15.87,0.0,1.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,UT,CUP_1,CUP,9.44,0.0,1.6,0.0,0.0,0.0,4.93,0.0,0.0,2.34,0.0
49,UT,LBR_1,LBR,17.85,0.0,0.0,0.0,0.0,0.0,0.0,11.08,0.0,0.0,0.0
49,UT,POP_1,POP,11.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.18,0.0
49,UT,STY_1,STY,14.35,0.0,0.0,2.17,0.6,1.94,0.0,0.81,0.0,0.0,0.0
50,VT,CON_1,CON,12.25,0.0,8.5,0.0,0.0,3.44,0.0,0.0,0.0,4.03,0.0
50,VT,LBR_1,LBR,11.5,0.0,0.0,0.0,0.0,0.0,0.0,5.23,0.0,0.0,3.81
50,VT,LIB_1,LIB,12.86,0.0,1.46,0.0,0.92,0.0,0.0,0.0,9.46,0.0,0.0
50,VT,POP_1,POP,5.36,1.74,0.0,0.0,1.0,3.58,5.52,0.0,0.0,0.0,1.46
50,VT,PRG_1,PRG,26.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,VA,CON_1,CON,19.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.89,0.0
51,VA,CUP_1,CUP,7.12,1.17,2.35,1.3,0.0,0.0,4.75,0.0,0.0,0.0,3.64
51,VA,LBR_1,LBR,16.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,VA,LIB_1,LIB,9.03,0.0,0.91,0.0,0.0,0.0,0.0,0.56,9.67,0.0,1.3
51,VA,STY_1,STY,9.9,0.0,1.7,6.63,0.0,0.0,0.0,3.84,0.0,0.0,0.0
53,WA,CON_1,CON,13.25,0.0,2.39,0.0,0.0,0.0,0.0,0.0,0.0,3.03,0.73
53,WA,CUP_1,CUP,7.99,0.0,2.6,1.74,0.0,0.0,3.75,1.78,0.0,0.0,0.85
