candidate_code,party,axis,direction,URBAN,SUBURBAN,RURAL,NATIONAL,pct_national
CON_hi_pc,CON,pc,hi,49,35,12,96,11.29
CON_lo_pc,CON,pc,lo,49,25,6,80,9.41
LBR_hi_so,LBR,so,hi,36,19,1,56,6.59
CON_lo_es,CON,es,lo,23,23,9,55,6.47
LBR_lo_so,LBR,so,lo,34,11,6,51,6.0
LIB,LIB,base,base,28,14,4,46,5.41
STY_lo_es,STY,es,lo,27,16,2,45,5.29
CUP_lo_pc,CUP,pc,lo,28,12,3,43,5.06
POP_lo_es,POP,es,lo,15,17,4,36,4.24
CON_hi_es,CON,es,hi,16,8,10,34,4.0
LBR_lo_es,LBR,es,lo,22,8,3,33,3.88
NAT_lo_es,NAT,es,lo,11,12,5,28,3.29
LIB_hi_pc,LIB,pc,hi,15,7,3,25,2.94
LBR_hi_es,LBR,es,hi,12,7,5,24,2.82
DSA_lo_es,DSA,es,lo,17,7,0,24,2.82
POP_lo_pc,POP,pc,lo,11,7,5,23,2.71
PRG,PRG,base,base,13,6,1,20,2.35
LIB_lo_pc,LIB,pc,lo,14,5,0,19,2.24
NAT_hi_es,NAT,es,hi,9,5,2,16,1.88
POP_hi_es,POP,es,hi,8,6,1,15,1.76
STY_hi_es,STY,es,hi,10,2,1,13,1.53
STY_hi_pc,STY,pc,hi,7,5,0,12,1.41
CUP_hi_pc,CUP,pc,hi,6,1,4,11,1.29
STY_hi_so,STY,so,hi,4,3,1,8,0.94
LBR_lo_pc,LBR,pc,lo,5,1,1,7,0.82
OAO,OAO,base,base,3,3,1,7,0.82
POP_hi_pc,POP,pc,hi,0,4,2,6,0.71
DSA_hi_es,DSA,es,hi,3,0,1,4,0.47
STY_lo_so,STY,so,lo,2,1,0,3,0.35
NAT,NAT,base,base,0,1,1,2,0.24
CUP,CUP,base,base,0,1,1,2,0.24
STY_lo_pc,STY,pc,lo,1,1,0,2,0.24
LBR_hi_pc,LBR,pc,hi,2,0,0,2,0.24
POP,POP,base,base,0,0,1,1,0.12
CON,CON,base,base,1,0,0,1,0.12
