district_id,state_fips,state_abbr,density_tier,seat_count,n_respondents,n_candidates,elected_0,elected_1,elected_2,elected_3,elected_4,elected_5,elected_6,elected_7,elected_8,elected_9
01-01,1,AL,URBAN,7,195,13,CON,CON,STY,NAT,CUP,LBR,OAO,,,
01-02,1,AL,SUBURBAN,7,204,12,CON,STY,DSA,NAT,CON,CUP,LBR,,,
01-03,1,AL,RURAL,7,194,12,CON,STY,NAT,DSA,CON,LBR,CUP,,,
01-04,1,AL,RURAL,5,68,11,POP,LBR,CON,NAT,POP,,,,,
02-01,2,AK,SUBURBAN,4,105,11,LBR,CON,STY,CUP,,,,,,
04-01,4,AZ,URBAN,9,613,16,CON,NAT,CON,POP,DSA,LBR,STY,LIB,PRG,
04-02,4,AZ,URBAN,9,432,15,CON,NAT,LIB,LBR,PRG,POP,STY,CON,CUP,
04-03,4,AZ,URBAN,7,106,15,NAT,STY,CON,NAT,POP,LBR,STY,,,
04-04,4,AZ,SUBURBAN,7,8,15,CON,CON,DSA,LBR,OAO,PRG,STY,,,
04-05,4,AZ,SUBURBAN,5,1159,11,CON,NAT,LBR,LIB,STY,,,,,
05-01,5,AR,URBAN,6,150,13,LBR,CON,POP,LBR,CON,LIB,,,,
05-02,5,AR,SUBURBAN,5,147,11,CON,LBR,PRG,POP,CON,,,,,
05-03,5,AR,RURAL,5,93,11,NAT,CON,CUP,STY,LBR,,,,,
06-01,6,CA,URBAN,9,874,14,STY,LBR,LIB,CON,LBR,PRG,CUP,STY,POP,
06-02,6,CA,URBAN,9,303,16,STY,CON,LBR,LIB,PRG,LBR,NAT,POP,STY,
06-03,6,CA,URBAN,9,268,14,LBR,OAO,LIB,CON,NAT,CUP,LBR,POP,PRG,
06-04,6,CA,URBAN,9,247,14,CON,LBR,POP,STY,CON,LIB,LBR,CUP,NAT,
06-05,6,CA,URBAN,9,228,16,LBR,LBR,LIB,CON,STY,LBR,CUP,NAT,POP,
06-06,6,CA,URBAN,9,136,15,LIB,PRG,LIB,CON,LBR,STY,CUP,CON,PRG,
