state_fips,state_abbr,finalist_code,finalist_party,first_choice_pct,inc_CON,inc_OAO,inc_POP,inc_STY,inc_LBR,inc_CUP,inc_NAT,inc_LIB,inc_PRG,inc_DSA
1,AL,CON_1,CON,25.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,AL,CON_2,CON,0.0,8.87,3.84,0.81,0.79,0.61,0.68,14.44,0.0,0.0,0.0
1,AL,CUP_1,CUP,8.09,0.0,1.72,2.36,0.0,6.27,0.0,0.0,0.64,0.0,0.0
1,AL,DSA_1,DSA,10.32,0.0,0.0,0.0,0.0,1.99,0.0,0.0,2.01,0.0,0.0
1,AL,STY_1,STY,13.71,0.0,0.0,6.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,AK,CON_1,CON,14.63,0.0,0.0,4.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,AK,CUP_1,CUP,17.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,AK,LBR_1,LBR,19.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,AK,LIB_1,LIB,12.18,0.0,0.0,0.0,0.0,0.51,0.0,0.0,0.0,1.41,0.67
2,AK,STY_1,STY,12.63,0.0,0.0,0.0,0.0,1.15,0.0,0.0,0.0,0.0,4.36
4,AZ,CON_1,CON,20.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,AZ,LBR_1,LBR,10.23,1.15,2.31,0.0,0.0,0.0,1.36,0.0,0.0,0.0,6.11
4,AZ,LIB_1,LIB,9.09,0.0,1.18,0.0,0.0,1.09,0.0,0.0,0.0,8.26,0.0
4,AZ,NAT_1,NAT,17.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,AZ,STY_1,STY,7.42,2.28,0.0,10.02,0.0,2.92,0.0,0.0,0.95,0.0,1.83
5,AR,CON_1,CON,22.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,AR,CUP_1,CUP,8.85,1.12,3.52,0.0,0.0,0.0,0.0,0.0,4.17,0.0,0.0
5,AR,LBR_1,LBR,16.43,0.0,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,AR,NAT_1,NAT,11.36,1.03,0.0,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,AR,STY_1,STY,6.35,1.78,1.17,11.56,0.0,0.0,0.0,0.0,0.0,0.0,7.21
