candidate_code,party,axis,direction,URBAN,SUBURBAN,RURAL,NATIONAL,pct_national
CON_hi_pc,CON,pc,hi,48,32,11,91,10.71
CON_lo_pc,CON,pc,lo,52,25,6,83,9.76
CON_lo_id,CON,id,lo,23,24,9,56,6.59
LBR_hi_so,LBR,so,hi,32,20,2,54,6.35
LBR_lo_so,LBR,so,lo,36,12,5,53,6.24
LIB,LIB,base,base,28,15,4,47,5.53
STY_lo_id,STY,id,lo,25,15,1,41,4.82
CUP_lo_pc,CUP,pc,lo,26,12,2,40,4.71
CON_hi_id,CON,id,hi,17,10,9,36,4.24
LBR_lo_id,LBR,id,lo,23,8,2,33,3.88
POP_lo_id,POP,id,lo,12,16,4,32,3.76
NAT_lo_id,NAT,id,lo,12,10,7,29,3.41
DSA_lo_id,DSA,id,lo,17,8,0,25,2.94
LIB_hi_pc,LIB,pc,hi,15,7,3,25,2.94
LBR_hi_id,LBR,id,hi,12,8,5,25,2.94
POP_lo_pc,POP,pc,lo,11,8,4,23,2.71
NAT_hi_id,NAT,id,hi,11,8,4,23,2.71
PRG,PRG,base,base,15,5,2,22,2.59
LIB_lo_pc,LIB,pc,lo,17,4,1,22,2.59
POP_hi_id,POP,id,hi,9,6,1,16,1.88
CUP_hi_pc,CUP,pc,hi,6,2,4,12,1.41
STY_hi_id,STY,id,hi,9,1,1,11,1.29
STY_hi_pc,STY,pc,hi,6,3,0,9,1.06
STY_hi_so,STY,so,hi,4,3,1,8,0.94
OAO,OAO,base,base,3,3,2,8,0.94
LBR_lo_pc,LBR,pc,lo,5,1,1,7,0.82
POP_hi_pc,POP,pc,hi,0,4,2,6,0.71
DSA_hi_id,DSA,id,hi,3,0,1,4,0.47
NAT,NAT,base,base,0,1,1,2,0.24
CUP,CUP,base,base,0,1,1,2,0.24
STY_lo_so,STY,so,lo,1,1,0,2,0.24
STY_lo_pc,STY,pc,lo,1,0,0,1,0.12
LBR_hi_pc,LBR,pc,hi,1,0,0,1,0.12
CON,CON,base,base,1,0,0,1,0.12
