candidate_code,party,axis,direction,URBAN,SUBURBAN,RURAL,NATIONAL,pct_national
CON_hi_pc,CON,pc,hi,85,47,20,152,9.47
CON_lo_pc,CON,pc,lo,78,32,20,130,8.1
CON_lo_es,CON,es,lo,54,38,16,108,6.73
LBR_hi_so,LBR,so,hi,59,25,11,95,5.92
LBR_lo_so,LBR,so,lo,61,19,5,85,5.3
NAT_lo_es,NAT,es,lo,35,25,15,75,4.67
CUP_lo_pc,CUP,pc,lo,51,12,7,70,4.36
CON_hi_es,CON,es,hi,39,17,13,69,4.3
LIB,LIB,base,base,41,22,5,68,4.24
DSA_lo_es,DSA,es,lo,46,16,2,64,3.99
LBR_lo_es,LBR,es,lo,41,16,7,64,3.99
STY_lo_es,STY,es,lo,39,20,1,60,3.74
PRG,PRG,base,base,43,12,1,56,3.49
LBR_hi_es,LBR,es,hi,33,15,6,54,3.36
POP_lo_es,POP,es,lo,24,22,5,51,3.18
LIB_lo_pc,LIB,pc,lo,40,7,2,49,3.05
CUP_hi_pc,CUP,pc,hi,20,12,8,40,2.49
NAT_hi_es,NAT,es,hi,29,7,3,39,2.43
POP_lo_pc,POP,pc,lo,20,9,6,35,2.18
LIB_hi_pc,LIB,pc,hi,20,10,3,33,2.06
POP_hi_es,POP,es,hi,24,5,3,32,1.99
OAO,OAO,base,base,12,7,4,23,1.43
STY_hi_pc,STY,pc,hi,12,8,1,21,1.31
LBR_lo_pc,LBR,pc,lo,10,4,4,18,1.12
STY_hi_so,STY,so,hi,10,7,0,17,1.06
STY_hi_es,STY,es,hi,10,4,3,17,1.06
STY_lo_pc,STY,pc,lo,8,4,3,15,0.93
POP_hi_pc,POP,pc,hi,1,5,7,13,0.81
STY_lo_so,STY,so,lo,8,3,1,12,0.75
LBR_hi_pc,LBR,pc,hi,5,2,2,9,0.56
DSA_hi_es,DSA,es,hi,5,2,1,8,0.5
CON,CON,base,base,2,0,5,7,0.44
CUP,CUP,base,base,3,2,0,5,0.31
DSA,DSA,base,base,1,1,1,3,0.19
NAT,NAT,base,base,1,2,0,3,0.19
POP,POP,base,base,2,0,0,2,0.12
STY,STY,base,base,1,0,1,2,0.12
LBR,LBR,base,base,0,1,0,1,0.06
