variable,domain,type,stat_label,question,overall,CON/CTR,CON/SD,CON/STY,SD/STY,SD/CON,SD/DSA,SD/CTR,SD/LIB,STY/REF,STY/SD,STY/CON,REF/STY
CC24_341a,Taxes & Economy,binary,% Supporting,Extend the 2017 tax cuts,62.9096,81.8411,68.9803,74.8022,52.7343,66.2491,38.8376,62.6284,40.9353,67.3591,54.6977,70.5616,70.1084
CC24_341b,Taxes & Economy,binary,% Supporting,Raise corporate income tax from 21% to 28%,57.6828,44.1883,57.3377,44.9645,71.4432,60.4662,84.4524,66.7126,85.5513,44.5059,66.9069,47.4817,40.9111
CC24_341c,Taxes & Economy,binary,% Supporting,Allow rates on $400k+ earners to rise to 35%,65.3484,56.1224,67.6149,55.1374,77.2198,70.1645,93.0132,74.2246,92.197,49.4043,72.5631,56.2067,45.6485
CC24_341d,Taxes & Economy,binary,% Supporting,Spend $150B/yr on infrastructure,80.4546,78.8882,83.8932,75.2519,84.1324,84.8186,93.0909,85.1863,94.0717,66.5469,80.7933,73.9528,64.8034
CC24_302,Taxes & Economy,ordinal,Weighted mean,Household income change past year (1=Increased a lot … 5=Decreased a lot),3.1199,3.1903,3.1365,3.2355,3.0203,3.1111,2.9924,2.9896,2.8173,3.2827,3.0565,3.2143,3.3305
CC24_302,Taxes & Economy,ordinal_dist,% Increased a lot,Household income change past year (1=Increased a lot … 5=Decreased a lot),3.03,2.9352,2.4252,2.0504,3.7612,2.6391,3.43,4.935,4.44,2.605,3.64,2.4157,2.3334
CC24_302,Taxes & Economy,ordinal_dist,% Increased somewhat,Household income change past year (1=Increased a lot … 5=Decreased a lot),19.74,14.3239,18.1644,15.3754,23.8234,19.1945,25.46,21.9,30.4,16.2185,22.845,16.7314,14.7208
CC24_302,Taxes & Economy,ordinal_dist,% Stayed same,Household income change past year (1=Increased a lot … 5=Decreased a lot),50.26,53.7574,52.5876,51.6264,48.6912,52.1764,48.345,50.615,49.805,46.7555,48.25,50.2342,46.6812
CC24_302,Taxes & Economy,ordinal_dist,% Decreased somewhat,Household income change past year (1=Increased a lot … 5=Decreased a lot),16.15,18.7267,16.9575,18.8496,14.0497,16.3807,13.95,14.36,9.685,19.1215,14.73,18.2259,20.0759
CC24_302,Taxes & Economy,ordinal_dist,% Decreased a lot,Household income change past year (1=Increased a lot … 5=Decreased a lot),10.82,10.2568,9.8608,12.094,9.6645,9.6041,8.81,8.185,5.665,15.2895,10.525,12.3869,16.1787
