candidate_code,party,axis,direction,URBAN,SUBURBAN,RURAL,NATIONAL,pct_national
CON_hi_pc,CON,pc,hi,78,50,19,147,9.16
CON_lo_pc,CON,pc,lo,78,34,20,132,8.22
CON_lo_es,CON,es,lo,56,38,18,112,6.98
LBR_hi_so,LBR,so,hi,64,23,11,98,6.11
LBR_lo_so,LBR,so,lo,57,20,5,82,5.11
CON_hi_es,CON,es,hi,43,17,12,72,4.49
CUP_lo_pc,CUP,pc,lo,49,14,7,70,4.36
STY_lo_es,STY,es,lo,44,22,3,69,4.3
LIB,LIB,base,base,41,21,5,67,4.17
NAT_lo_es,NAT,es,lo,29,24,12,65,4.05
DSA_lo_es,DSA,es,lo,46,16,2,64,3.99
LBR_lo_es,LBR,es,lo,42,15,6,63,3.93
POP_lo_es,POP,es,lo,28,20,6,54,3.36
LBR_hi_es,LBR,es,hi,32,15,6,53,3.3
LIB_lo_pc,LIB,pc,lo,40,7,2,49,3.05
PRG,PRG,base,base,37,10,1,48,2.99
CUP_hi_pc,CUP,pc,hi,20,11,8,39,2.43
POP_lo_pc,POP,pc,lo,22,10,5,37,2.31
NAT_hi_es,NAT,es,hi,28,6,3,37,2.31
POP_hi_es,POP,es,hi,22,5,4,31,1.93
LIB_hi_pc,LIB,pc,hi,19,10,2,31,1.93
STY_hi_pc,STY,pc,hi,17,8,1,26,1.62
OAO,OAO,base,base,12,7,5,24,1.5
STY_hi_es,STY,es,hi,15,5,4,24,1.5
LBR_lo_pc,LBR,pc,lo,9,4,4,17,1.06
STY_hi_so,STY,so,hi,9,7,0,16,1.0
STY_lo_pc,STY,pc,lo,8,4,3,15,0.93
STY_lo_so,STY,so,lo,9,3,1,13,0.81
POP_hi_pc,POP,pc,hi,2,5,6,13,0.81
DSA_hi_es,DSA,es,hi,5,1,2,8,0.5
LBR_hi_pc,LBR,pc,hi,4,1,2,7,0.44
CON,CON,base,base,1,0,5,6,0.37
CUP,CUP,base,base,3,2,0,5,0.31
DSA,DSA,base,base,1,1,1,3,0.19
STY,STY,base,base,1,1,1,3,0.19
POP,POP,base,base,2,0,0,2,0.12
NAT,NAT,base,base,0,2,0,2,0.12
LBR,LBR,base,base,0,1,0,1,0.06
