candidate_code,party,axis,direction,URBAN,SUBURBAN,RURAL,NATIONAL,pct_national
CON_hi_pc,CON,pc,hi,85,48,20,153,9.53
CON_lo_pc,CON,pc,lo,78,33,20,131,8.16
CON_lo_es,CON,es,lo,52,39,15,106,6.6
LBR_hi_so,LBR,so,hi,58,21,10,89,5.55
LBR_lo_so,LBR,so,lo,57,16,5,78,4.86
NAT_lo_es,NAT,es,lo,36,26,16,78,4.86
CON_hi_es,CON,es,hi,41,20,13,74,4.61
LIB,LIB,base,base,43,25,5,73,4.55
DSA_lo_es,DSA,es,lo,48,16,2,66,4.11
LBR_lo_es,LBR,es,lo,43,16,7,66,4.11
CUP_lo_pc,CUP,pc,lo,47,12,7,66,4.11
PRG,PRG,base,base,44,14,2,60,3.74
STY_lo_es,STY,es,lo,39,19,1,59,3.68
LBR_hi_es,LBR,es,hi,32,14,6,52,3.24
LIB_lo_pc,LIB,pc,lo,41,8,2,51,3.18
POP_lo_es,POP,es,lo,22,22,5,49,3.05
LIB_hi_pc,LIB,pc,hi,24,10,4,38,2.37
NAT_hi_es,NAT,es,hi,27,7,4,38,2.37
CUP_hi_pc,CUP,pc,hi,20,13,5,38,2.37
POP_lo_pc,POP,pc,lo,20,10,6,36,2.24
POP_hi_es,POP,es,hi,25,4,2,31,1.93
OAO,OAO,base,base,15,6,6,27,1.68
STY_hi_es,STY,es,hi,13,4,3,20,1.25
STY_hi_pc,STY,pc,hi,11,6,1,18,1.12
STY_hi_so,STY,so,hi,10,6,0,16,1.0
LBR_lo_pc,LBR,pc,lo,8,4,4,16,1.0
STY_lo_pc,STY,pc,lo,7,3,3,13,0.81
POP_hi_pc,POP,pc,hi,1,5,7,13,0.81
STY_lo_so,STY,so,lo,7,4,1,12,0.75
DSA_hi_es,DSA,es,hi,5,2,1,8,0.5
CON,CON,base,base,2,1,5,8,0.5
LBR_hi_pc,LBR,pc,hi,5,1,2,8,0.5
CUP,CUP,base,base,2,1,0,3,0.19
DSA,DSA,base,base,1,1,1,3,0.19
NAT,NAT,base,base,1,2,0,3,0.19
POP,POP,base,base,2,0,0,2,0.12
STY,STY,base,base,1,0,1,2,0.12
LBR,LBR,base,base,0,1,0,1,0.06
