state_fips,state_abbr,finalist_code,finalist_party,first_choice_pct,inc_CON,inc_OAO,inc_CUP,inc_POP,inc_LIB,inc_DSA,inc_LBR,inc_PRG,inc_NAT
1,AL,CON_1,CON,25.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,AL,CON_2,CON,0.0,8.79,4.0,6.09,2.32,0.0,0.0,0.0,0.0,0.0
1,AL,LBR_1,LBR,14.28,0.0,0.0,0.0,0.0,2.79,0.0,0.0,0.0,0.0
1,AL,NAT_1,NAT,13.21,3.53,0.0,0.0,0.0,0.0,15.88,0.0,0.0,0.0
1,AL,POP_1,POP,14.02,0.0,0.0,5.26,0.0,0.0,0.0,0.0,0.0,0.0
2,AK,CON_1,CON,14.06,0.0,0.0,0.59,8.06,0.0,0.0,0.0,0.0,0.0
2,AK,CUP_1,CUP,18.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,AK,LBR_1,LBR,31.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,AK,LBR_2,LBR,0.0,0.0,0.0,0.0,0.0,0.0,4.26,13.59,0.0,0.0
2,AK,LIB_1,LIB,11.14,0.78,0.0,0.0,0.9,0.0,0.6,0.0,1.26,14.7
4,AZ,CON_1,CON,20.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,AZ,LBR_1,LBR,13.61,0.0,1.67,7.71,0.0,0.0,9.01,0.0,0.0,0.0
4,AZ,LIB_1,LIB,8.54,0.0,0.9,0.53,0.0,0.0,2.66,5.73,4.44,0.0
4,AZ,NAT_1,NAT,16.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,AZ,POP_1,POP,15.21,1.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,AR,CON_1,CON,22.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.1
5,AR,CUP_1,CUP,9.73,1.08,5.54,0.0,1.01,0.0,0.0,0.56,0.0,0.0
5,AR,LBR_1,LBR,20.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,AR,LIB_1,LIB,4.81,0.0,1.37,0.71,0.0,0.0,8.7,0.65,3.78,0.0
5,AR,POP_1,POP,14.69,2.76,0.0,0.0,0.0,0.0,0.0,1.36,0.0,0.0
6,CA,CON_1,CON,13.2,0.0,1.62,3.69,3.56,0.0,0.0,0.0,0.0,2.92
6,CA,LBR_1,LBR,23.6,0.0,0.0,3.36,0.0,0.0,0.0,0.0,0.0,0.0
6,CA,LBR_2,LBR,0.0,0.0,1.53,0.0,0.0,5.19,3.7,6.9,0.0,0.0
6,CA,LIB_1,LIB,13.39,0.0,1.42,0.75,0.0,0.0,0.0,0.0,7.67,0.0
6,CA,POP_1,POP,13.78,0.0,0.0,1.86,0.0,0.0,0.0,0.0,0.0,6.82
8,CO,CON_1,CON,21.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,CO,LBR_1,LBR,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,CO,LIB_1,LIB,12.71,0.0,0.0,0.68,0.75,0.0,4.9,0.0,9.76,0.0
8,CO,NAT_1,NAT,8.78,0.67,6.5,0.0,1.56,0.0,0.0,0.0,0.0,0.0
8,CO,POP_1,POP,14.15,4.26,0.0,2.09,0.0,0.0,0.0,0.0,0.0,0.0
9,CT,CON_1,CON,18.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,CT,CUP_1,CUP,6.46,0.0,2.96,0.0,0.61,1.1,0.0,0.0,0.0,9.72
9,CT,LBR_1,LBR,17.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77,0.0
9,CT,LIB_1,LIB,15.7,0.0,1.67,0.0,0.0,0.0,1.0,0.0,9.76,0.0
9,CT,POP_1,POP,12.27,1.13,1.99,0.0,0.0,0.0,2.08,0.0,0.0,0.0
10,DE,CON_1,CON,24.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,DE,CON_2,CON,0.0,7.24,0.0,1.12,7.55,0.0,0.0,0.0,0.0,4.4
10,DE,LBR_1,LBR,24.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,DE,LBR_2,LBR,0.0,2.08,0.0,2.54,3.16,0.0,2.78,7.03,0.0,0.0
10,DE,LIB_1,LIB,9.58,0.0,15.23,1.65,0.0,0.0,0.0,0.0,4.43,0.0
11,DC,LBR_1,LBR,20.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,DC,LIB_1,LIB,27.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,DC,LIB_2,LIB,0.0,0.0,1.33,1.75,0.0,10.27,3.31,1.34,0.0,0.0
11,DC,POP_1,POP,13.03,13.08,0.0,1.77,0.0,0.0,0.0,0.64,0.0,0.0
11,DC,PRG_1,PRG,12.08,0.0,0.0,0.0,0.0,0.0,5.56,0.0,0.0,0.0
12,FL,CON_1,CON,22.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.66
12,FL,CUP_1,CUP,11.96,2.05,4.99,0.0,0.0,0.0,0.0,0.59,0.0,0.0
12,FL,LBR_1,LBR,20.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,FL,LIB_1,LIB,7.33,0.0,2.07,2.44,0.0,0.0,9.28,0.69,1.35,0.0
12,FL,POP_1,POP,14.16,2.05,0.0,0.0,0.0,0.0,0.0,1.24,0.0,0.0
13,GA,CON_1,CON,22.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.94
13,GA,CUP_1,CUP,12.34,2.52,2.33,0.0,3.32,1.27,0.0,0.0,0.0,0.0
13,GA,LBR_1,LBR,21.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,GA,LIB_1,LIB,11.28,0.0,0.87,0.0,0.0,0.0,3.26,0.71,1.98,0.0
13,GA,POP_1,POP,11.92,4.57,0.0,0.0,0.0,0.0,2.65,1.87,0.0,1.09
15,HI,CON_1,CON,20.98,0.0,5.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,HI,LBR_1,LBR,25.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,HI,LBR_2,LBR,0.0,0.0,0.0,2.53,1.41,0.0,1.9,8.7,2.9,0.0
15,HI,LIB_1,LIB,17.7,0.0,6.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,HI,POP_1,POP,11.51,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.28
16,ID,CON_1,CON,22.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,ID,CUP_1,CUP,10.78,2.32,1.43,0.0,0.0,15.65,0.0,1.52,0.0,0.0
16,ID,LBR_1,LBR,12.9,1.08,1.37,0.0,0.0,0.0,6.03,0.0,0.0,0.0
16,ID,NAT_1,NAT,14.49,2.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,ID,POP_1,POP,17.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
